./res/out_9bus_2.out
IEEE 9 BUS CASE - 3G - 3L
                     1              4       
        Time(s) VOLT 1 [BUS1 1 ANGL 2 [BUS2 1
                        6.500]         8.000]
           1.08        1.03754        179.021
           1.09        1.03754        179.021
            1.1        1.03754        179.021
            1.1       0.955088        181.771
           1.11       0.948985        182.588
           1.12       0.940574        183.857
           1.13       0.935979        184.779
           1.14       0.931813        185.749
           1.15       0.928318        186.732
           1.16       0.925323        187.748
           1.17       0.922811        188.802
           1.18       0.920623        189.903
           1.19       0.918795        190.955
            1.2        0.91717        192.067
           1.21       0.915708        193.247
           1.22       0.914377        194.485
           1.23       0.913145        195.787
           1.24       0.911982        197.153
           1.25       0.910865        198.586
           1.26       0.909775        200.085
           1.27       0.908694        201.652
           1.28       0.907608        203.285
           1.29       0.906506        204.986
            1.3       0.905377        206.753
           1.31       0.904213        208.587
           1.32       0.903006        210.487
           1.33       0.901752        212.452
           1.34       0.900443        214.483
           1.35       0.899078         216.58
           1.36       0.897653        218.741
           1.37       0.896165        220.968
           1.38       0.894612        223.259
           1.39       0.892995        225.616
            1.4       0.891311        228.038
            1.4       0.951198        220.507
           1.41       0.954429        221.803
           1.42       0.960449        222.563
           1.43       0.963071        223.653
           1.44       0.965463        224.691
           1.45       0.967436         225.69
           1.46       0.969159        226.625
           1.47        0.97036        227.585
           1.48       0.971467         228.47
           1.49       0.972573        229.257
            1.5       0.973709        229.954
           1.51       0.974934        230.553
           1.52        0.97629        231.051
           1.53       0.977814        231.445
           1.54       0.979529        231.735
           1.55       0.981453        231.923
           1.56       0.983596        232.008
           1.57       0.985961        231.994
           1.58       0.988543        231.885
           1.59       0.991333        231.685
            1.6       0.994315        231.399
           1.61       0.997466        231.032
           1.62        1.00076        230.592
           1.63        1.00417        230.084
           1.64        1.00766        229.517
           1.65        1.01119        228.898
           1.66        1.01472        228.235
           1.67        1.01822        227.537
           1.68        1.02164        226.812
           1.69        1.02494        226.069
            1.7         1.0281        225.318
           1.71        1.03106        224.567
           1.72        1.03381        223.824
           1.73        1.03633        223.099
           1.74        1.03858          222.4
           1.75        1.04056        221.735
           1.76        1.04226        221.112
           1.77        1.04368        220.537
           1.78        1.04482        220.019
           1.79        1.04568        219.563
            1.8        1.04629        219.175
           1.81        1.04666        218.861
           1.82        1.04681        218.625
           1.83        1.04677        218.471
           1.84        1.04656        218.403
           1.85         1.0462        218.424
           1.86        1.04574        218.536
           1.87        1.04519        218.742
           1.88         1.0446        219.042
           1.89        1.04398        219.438
            1.9        1.04336         219.93
           1.91        1.04278        220.517
           1.92        1.04225        221.201
           1.93        1.04179        221.978
           1.94        1.04143        222.849
           1.95        1.04117        223.811
           1.96        1.04103        224.861
           1.97        1.04102        225.999
           1.98        1.04114         227.22
           1.99        1.04138        228.521
              2        1.04175        229.899
           2.01        1.04224         231.35
           2.02        1.04283         232.87
           2.03        1.04351        234.456
           2.04        1.04426        236.101
           2.05        1.04507        237.802
           2.06        1.04591        239.554
           2.07        1.04676        241.353
           2.08         1.0476        243.193
           2.09         1.0484        245.069
            2.1        1.04915        246.977
           2.11        1.04981        248.911
           2.12        1.05037        250.867
           2.13        1.05082         252.84
           2.14        1.05113        254.824
           2.15         1.0513        256.816
           2.16        1.05131         258.81
           2.17        1.05117        260.802
           2.18        1.05087        262.787
           2.19         1.0504        264.762
            2.2        1.04978         266.72
           2.21        1.04902        268.659
           2.22        1.04812        270.574
           2.23        1.04709        272.462
           2.24        1.04596        274.317
           2.25        1.04474        276.137
           2.26        1.04345        277.918
           2.27        1.04211        279.655
           2.28        1.04074        281.347
           2.29        1.03937        282.989
            2.3        1.03801        284.578
           2.31         1.0367        286.111
           2.32        1.03544        287.586
           2.33        1.03426            289
           2.34        1.03318         290.35
           2.35        1.03223        291.635
           2.36         1.0314        292.852
           2.37        1.03072        294.001
           2.38         1.0302        295.078
           2.39        1.02985        296.085
            2.4        1.02967        297.019
           2.41        1.02967         297.88
           2.42        1.02986        298.668
           2.43        1.03022        299.384
           2.44        1.03077        300.028
           2.45        1.03148        300.601
           2.46        1.03235        301.103
           2.47        1.03338        301.538
           2.48        1.03455        301.907
           2.49        1.03583        302.212
            2.5        1.03723        302.456
           2.51        1.03871        302.642
           2.52        1.04025        302.774
           2.53        1.04185        302.856
           2.54        1.04347         302.89
           2.55         1.0451        302.883
           2.56        1.04671        302.837
           2.57        1.04829        302.759
           2.58        1.04981        302.653
           2.59        1.05127        302.524
            2.6        1.05264        302.378
           2.61        1.05391        302.219
           2.62        1.05507        302.055
           2.63        1.05611        301.889
           2.64        1.05703        301.727
           2.65        1.05783        301.576
           2.66        1.05849         301.44
           2.67        1.05903        301.325
           2.68        1.05945        301.235
           2.69        1.05976        301.176
            2.7        1.05995        301.152
           2.71        1.06005        301.169
           2.72        1.06006        301.229
           2.73           1.06        301.336
           2.74        1.05988        301.495
           2.75        1.05971        301.708
           2.76         1.0595        301.979
           2.77        1.05927        302.308
           2.78        1.05902        302.699
           2.79        1.05878        303.153
            2.8        1.05855        303.671
           2.81        1.05833        304.254
           2.82        1.05814        304.901
           2.83        1.05798        305.614
           2.84        1.05786        306.391
           2.85        1.05777        307.232
           2.86        1.05772        308.135
           2.87        1.05771        309.099
           2.88        1.05774        310.121
           2.89        1.05779        311.201
            2.9        1.05787        312.335
           2.91        1.05797         313.52
           2.92        1.05808        314.754
           2.93         1.0582        316.034
           2.94        1.05831        317.355
           2.95        1.05841        318.715
           2.96        1.05849        320.109
           2.97        1.05854        321.535
           2.98        1.05855        322.988
           2.99        1.05853        324.463
              3        1.05845        325.958
           3.01        1.05831        327.468
           3.02        1.05812         328.99
           3.03        1.05787        330.518
           3.04        1.05755        332.049
           3.05        1.05717         333.58
           3.06        1.05673        335.106
           3.07        1.05622        336.623
           3.08        1.05566        338.128
           3.09        1.05504        339.617
            3.1        1.05438        341.087
           3.11        1.05367        342.534
           3.12        1.05294        343.955
           3.13        1.05217        345.346
           3.14        1.05139        346.705
           3.15         1.0506         348.03
           3.16        1.04982        349.316
           3.17        1.04904        350.562
           3.18        1.04829        351.766
           3.19        1.04756        352.924
            3.2        1.04688        354.036
           3.21        1.04624          355.1
           3.22        1.04565        356.113
           3.23        1.04513        357.076
           3.24        1.04467        357.986
           3.25        1.04429        358.844
           3.26        1.04399        359.648
           3.27        1.04376        360.398
           3.28        1.04362        361.095
           3.29        1.04357        361.739
            3.3         1.0436         362.33
           3.31        1.04371        362.869
           3.32         1.0439        363.358
           3.33        1.04417        363.798
           3.34        1.04452         364.19
           3.35        1.04492        364.536
           3.36        1.04539        364.839
           3.37        1.04592        365.102
           3.38        1.04648        365.325
           3.39        1.04709        365.514
            3.4        1.04772        365.669
           3.41        1.04837        365.796
           3.42        1.04904        365.896
           3.43         1.0497        365.974
           3.44        1.05036        366.033
           3.45          1.051        366.076
           3.46        1.05161        366.107
           3.47         1.0522         366.13
           3.48        1.05275        366.149
           3.49        1.05326        366.167
            3.5        1.05372        366.188
           3.51        1.05413        366.216
           3.52        1.05449        366.253
           3.53         1.0548        366.303
           3.54        1.05505         366.37
           3.55        1.05525        366.456
           3.56        1.05539        366.564
           3.57        1.05549        366.698
           3.58        1.05554        366.859
           3.59        1.05555        367.049
            3.6        1.05552        367.272
           3.61        1.05545        367.528
           3.62        1.05536        367.819
           3.63        1.05524        368.147
           3.64         1.0551        368.512
           3.65        1.05494        368.916
           3.66        1.05477         369.36
           3.67        1.05459        369.842
           3.68        1.05441        370.365
           3.69        1.05423        370.927
            3.7        1.05405        371.529
           3.71        1.05387        372.169
           3.72        1.05369        372.848
           3.73        1.05353        373.564
           3.74        1.05336        374.316
           3.75        1.05321        375.103
           3.76        1.05306        375.924
           3.77        1.05291        376.776
           3.78        1.05276        377.659
           3.79        1.05261        378.569
            3.8        1.05245        379.507
           3.81        1.05229        380.468
           3.82        1.05212        381.452
           3.83        1.05194        382.455
           3.84        1.05174        383.477
           3.85        1.05153        384.513
           3.86        1.05129        385.563
           3.87        1.05103        386.623
           3.88        1.05075        387.691
           3.89        1.05045        388.764
            3.9        1.05011        389.841
           3.91        1.04976        390.919
           3.92        1.04937        391.996
           3.93        1.04896        393.068
           3.94        1.04853        394.135
           3.95        1.04807        395.193
           3.96        1.04759         396.24
           3.97         1.0471        397.275
           3.98        1.04659        398.295
           3.99        1.04607        399.298
              4        1.04555        400.283
           4.01        1.04502        401.247
           4.02        1.04449        402.189
           4.03        1.04398        403.108
           4.04        1.04347        404.002
           4.05        1.04297        404.869
           4.06         1.0425        405.708
           4.07        1.04205        406.519
           4.08        1.04163        407.301
           4.09        1.04123        408.051
            4.1        1.04088        408.771
           4.11        1.04056        409.459
           4.12        1.04028        410.115
           4.13        1.04004        410.739
           4.14        1.03985        411.331
           4.15         1.0397         411.89
           4.16        1.03959        412.417
           4.17        1.03953        412.913
           4.18        1.03951        413.378
           4.19        1.03953        413.812
            4.2         1.0396        414.216
           4.21         1.0397        414.593
           4.22        1.03984        414.941
           4.23        1.04001        415.264
           4.24        1.04021        415.561
           4.25        1.04043        415.835
           4.26        1.04068        416.088
           4.27        1.04094         416.32
           4.28        1.04121        416.534
           4.29         1.0415        416.731
            4.3        1.04179        416.914
           4.31        1.04208        417.085
           4.32        1.04236        417.245
           4.33        1.04264        417.397
           4.34        1.04291        417.542
           4.35        1.04316        417.684
           4.36         1.0434        417.823
        4.37001        1.04362        417.963
        4.38001        1.04382        418.105
        4.39001          1.044        418.251
        4.40001        1.04416        418.403
        4.41001        1.04429        418.564
        4.42001         1.0444        418.735
        4.43001        1.04449        418.918
        4.44001        1.04455        419.114
        4.45001        1.04459        419.326
        4.46001        1.04461        419.554
        4.47001        1.04461        419.801
        4.48001        1.04459        420.067
        4.49001        1.04455        420.354
        4.50001         1.0445        420.662
        4.51001        1.04443        420.993
        4.52001        1.04435        421.347
        4.53001        1.04426        421.725
        4.54001        1.04416        422.127
        4.55001        1.04405        422.554
        4.56001        1.04393        423.006
        4.57001        1.04381        423.482
        4.58001        1.04369        423.983
        4.59001        1.04356        424.509
        4.60001        1.04342        425.059
        4.61001        1.04329        425.633
        4.62001        1.04314        426.229
        4.63001          1.043        426.848
        4.64001        1.04285        427.489
        4.65001         1.0427         428.15
        4.66001        1.04254        428.831
        4.67001        1.04237         429.53
        4.68001         1.0422        430.246
        4.69001        1.04202        430.978
        4.70001        1.04183        431.725
        4.71001        1.04164        432.484
        4.72001        1.04143        433.256
        4.73001        1.04122        434.038
        4.74001        1.04099        434.828
        4.75001        1.04076        435.625
        4.76001        1.04051        436.428
        4.77001        1.04025        437.235
        4.78001        1.03999        438.044
        4.79001        1.03971        438.854
        4.80001        1.03942        439.663
        4.81002        1.03912         440.47
        4.82002        1.03882        441.273
        4.83002        1.03851         442.07
        4.84002        1.03819         442.86
        4.85002        1.03788        443.642
        4.86002        1.03756        444.415
        4.87002        1.03724        445.176
        4.88002        1.03692        445.925
        4.89002        1.03661        446.661
        4.90002         1.0363        447.382
        4.91002          1.036        448.088
        4.92002        1.03571        448.777
        4.93002        1.03544        449.448
        4.94002        1.03518        450.101
        4.95002        1.03493        450.736
        4.96002        1.03471        451.351
        4.97002         1.0345        451.946
        4.98002        1.03431        452.521
        4.99002        1.03415        453.075
        5.00002          1.034        453.608
        5.01002        1.03388         454.12
        5.02002        1.03379        454.611
        5.03002        1.03372        455.082
        5.04002        1.03367        455.531
        5.05002        1.03364        455.961
        5.06002        1.03364        456.371
        5.07002        1.03366        456.761
        5.08002         1.0337        457.132
        5.09002        1.03377        457.486
        5.10002        1.03385        457.822
        5.11002        1.03395        458.142
        5.12002        1.03406        458.446
        5.13002        1.03419        458.736
        5.14002        1.03433        459.013
        5.15002        1.03448        459.277
        5.16002        1.03463         459.53
        5.17002         1.0348        459.774
        5.18002        1.03496        460.009
        5.19002        1.03513        460.237
        5.20002         1.0353        460.459
        5.21002        1.03547        460.677
        5.22002        1.03564        460.891
        5.23002         1.0358        461.104
        5.24003        1.03595        461.316
        5.25003         1.0361         461.53
        5.26003        1.03624        461.745
        5.27003        1.03637        461.964
        5.28003        1.03649        462.188
        5.29003         1.0366        462.418
        5.30003         1.0367        462.655
        5.31003        1.03679        462.901
        5.32003        1.03686        463.156
        5.33003        1.03693        463.421
        5.34003        1.03698        463.698
        5.35003        1.03702        463.986
        5.36003        1.03706        464.288
        5.37003        1.03708        464.603
        5.38003        1.03709        464.932
        5.39003         1.0371        465.276
        5.40003        1.03709        465.635
        5.41003        1.03708        466.009
        5.42003        1.03706        466.399
        5.43003        1.03703        466.805
        5.44003          1.037        467.227
        5.45003        1.03695        467.665
        5.46003        1.03691        468.118
        5.47003        1.03686        468.588
        5.48003         1.0368        469.072
        5.49003        1.03673        469.572
        5.50003        1.03667        470.086
        5.51003        1.03659        470.615
        5.52003        1.03651        471.157
        5.53003        1.03643        471.712
        5.54003        1.03634        472.279
        5.55003        1.03625        472.858
        5.56003        1.03615        473.448
        5.57003        1.03605        474.047
        5.58003        1.03594        474.656
        5.59003        1.03582        475.273
        5.60003         1.0357        475.898
        5.61003        1.03557        476.528
        5.62003        1.03544        477.165
        5.63003        1.03531        477.805
        5.64003        1.03516        478.449
        5.65003        1.03502        479.095
        5.66003        1.03487        479.743
        5.67003        1.03471        480.391
        5.68004        1.03455        481.038
        5.69004        1.03439        481.683
        5.70004        1.03423        482.326
        5.71004        1.03406        482.966
        5.72004         1.0339        483.601
        5.73004        1.03374        484.231
        5.74004        1.03357        484.854
        5.75004        1.03341         485.47
        5.76004        1.03325        486.079
        5.77004         1.0331        486.679
        5.78004        1.03295         487.27
        5.79004        1.03281        487.851
        5.80004        1.03267        488.421
        5.81004        1.03254         488.98
        5.82004        1.03243        489.528
        5.83004        1.03232        490.064
        5.84004        1.03222        490.588
        5.85004        1.03214        491.099
        5.86004        1.03206        491.598
        5.87004          1.032        492.083
        5.88004        1.03195        492.556
        5.89004        1.03192        493.015
        5.90004         1.0319        493.461
        5.91004        1.03189        493.894
        5.92004        1.03189        494.314
        5.93004        1.03191        494.722
        5.94004        1.03194        495.117
        5.95004        1.03199          495.5
        5.96004        1.03204        495.872
        5.97004        1.03211        496.232
        5.98004        1.03219        496.581
        5.99004        1.03228        496.921
        6.00004        1.03237         497.25
        6.01004        1.03248        497.571
        6.02004        1.03259        497.883
        6.03004        1.03271        498.188
        6.04004        1.03283        498.485
        6.05004        1.03296        498.777
        6.06004        1.03309        499.063
        6.07004        1.03322        499.344
        6.08004        1.03336        499.622
        6.09004        1.03349        499.897
        6.10004        1.03363         500.17
        6.11004        1.03376        500.442
        6.12005        1.03389        500.713
        6.13005        1.03402        500.985
        6.14005        1.03414        501.258
        6.15005        1.03426        501.532
        6.16005        1.03438         501.81
        6.17005        1.03449        502.092
        6.18005        1.03459        502.377
        6.19005        1.03469        502.668
        6.20005        1.03478        502.964
        6.21005        1.03486        503.267
        6.22005        1.03494        503.576
        6.23005        1.03502        503.893
        6.24005        1.03508        504.218
        6.25005        1.03514        504.551
        6.26005         1.0352        504.892
        6.27005        1.03524        505.243
        6.28005        1.03528        505.604
        6.29005        1.03532        505.973
        6.30005        1.03535        506.353
        6.31005        1.03537        506.742
        6.32005        1.03539        507.142
        6.33005         1.0354        507.551
        6.34005        1.03541        507.971
        6.35005        1.03541          508.4
        6.36005        1.03541        508.839
        6.37005        1.03541        509.288
        6.38005        1.03539        509.746
        6.39005        1.03538        510.213
        6.40005        1.03536        510.688
        6.41005        1.03533        511.172
        6.42005         1.0353        511.664
        6.43005        1.03527        512.164
        6.44005        1.03523         512.67
        6.45005        1.03519        513.183
        6.46005        1.03514        513.702
        6.47005        1.03509        514.226
        6.48005        1.03504        514.755
        6.49005        1.03498        515.289
        6.50005        1.03493        515.825
        6.51005        1.03486        516.365
        6.52005         1.0348        516.907
        6.53005        1.03473        517.451
        6.54005        1.03466        517.996
        6.55006        1.03459        518.541
        6.56006        1.03451        519.086
        6.57006        1.03444        519.629
        6.58006        1.03436        520.171
        6.59006        1.03429        520.711
        6.60006        1.03421        521.249
        6.61006        1.03414        521.782
        6.62006        1.03407        522.312
        6.63006          1.034        522.837
        6.64006        1.03393        523.357
        6.65006        1.03386        523.872
        6.66006         1.0338        524.381
        6.67006        1.03375        524.883
        6.68006        1.03369        525.378
        6.69006        1.03365        525.867
        6.70006         1.0336        526.347
        6.71006        1.03357         526.82
        6.72006        1.03354        527.285
        6.73006        1.03351        527.742
        6.74006         1.0335         528.19
        6.75006        1.03349         528.63
        6.76006        1.03349        529.062
        6.77006        1.03349        529.484
        6.78006        1.03351        529.898
        6.79006        1.03353        530.304
        6.80006        1.03356        530.701
        6.81006        1.03359         531.09
        6.82006        1.03364         531.47
        6.83006        1.03369        531.843
        6.84006        1.03374        532.207
        6.85006        1.03381        532.565
        6.86006        1.03388        532.915
        6.87006        1.03395        533.259
        6.88006        1.03403        533.596
        6.89006        1.03412        533.927
        6.90006        1.03421        534.252
        6.91006         1.0343        534.573
        6.92006         1.0344        534.888
        6.93006         1.0345          535.2
        6.94006         1.0346        535.508
        6.95006         1.0347        535.812
        6.96006         1.0348        536.115
        6.97006        1.03491        536.415
        6.98006        1.03501        536.713
        6.99007        1.03511        537.011
        7.00007        1.03521        537.308
        7.01007        1.03531        537.605
        7.02007        1.03541        537.903
        7.03007        1.03551        538.202
        7.04007         1.0356        538.502
        7.05007        1.03569        538.805
        7.06007        1.03578         539.11
        7.07007        1.03586        539.418
        7.08007        1.03594         539.73
        7.09007        1.03602        540.045
        7.10007        1.03609        540.365
        7.11007        1.03616        540.689
        7.12007        1.03623        541.018
        7.13007        1.03629        541.353
        7.14007        1.03634        541.692
        7.15007        1.03639        542.038
        7.16007        1.03644        542.389
        7.17007        1.03648        542.746
        7.18007        1.03652        543.109
        7.19007        1.03656        543.479
        7.20007        1.03659        543.854
        7.21007        1.03661        544.236
        7.22007        1.03663        544.624
        7.23007        1.03665        545.018
        7.24007        1.03667        545.419
        7.25007        1.03668        545.825
        7.26007        1.03668        546.237
        7.27007        1.03669        546.655
        7.28007        1.03669        547.078
        7.29007        1.03668        547.506
        7.30007        1.03668        547.939
        7.31007        1.03667        548.377
        7.32007        1.03665        548.819
        7.33007        1.03664        549.265
        7.34007        1.03662        549.715
        7.35007        1.03659        550.168
        7.36007        1.03657        550.623
        7.37007        1.03654        551.082
        7.38007        1.03651        551.542
        7.39007        1.03648        552.004
        7.40007        1.03645        552.468
        7.41007        1.03642        552.932
        7.42007        1.03638        553.396
        7.43008        1.03635        553.861
        7.44008        1.03631        554.325
        7.45008        1.03627        554.788
        7.46008        1.03623        555.251
        7.47008        1.03619        555.711
        7.48008        1.03616        556.169
        7.49008        1.03612        556.625
        7.50008        1.03609        557.079
        7.51008        1.03605        557.529
        7.52008        1.03602        557.975
        7.53008        1.03599        558.418
        7.54008        1.03596        558.857
        7.55008        1.03593        559.291
        7.56008        1.03591        559.721
        7.57008        1.03589        560.146
        7.58008        1.03588        560.566
        7.59008        1.03586        560.981
        7.60008        1.03585         561.39
        7.61008        1.03585        561.794
        7.62008        1.03585        562.193
        7.63008        1.03585        562.586
        7.64008        1.03586        562.973
        7.65008        1.03587        563.354
        7.66008        1.03589        563.729
        7.67008        1.03591        564.099
        7.68008        1.03593        564.464
        7.69008        1.03596        564.823
        7.70008        1.03599        565.176
        7.71008        1.03603        565.524
        7.72008        1.03607        565.867
        7.73008        1.03612        566.205
        7.74008        1.03616        566.539
        7.75008        1.03622        566.868
        7.76008        1.03627        567.192
        7.77008        1.03633        567.513
        7.78008        1.03639         567.83
        7.79008        1.03645        568.143
        7.80008        1.03651        568.454
        7.81008        1.03657        568.761
        7.82008        1.03664        569.066
        7.83008        1.03671        569.369
        7.84008        1.03678         569.67
        7.85008        1.03684        569.969
        7.86009        1.03691        570.268
        7.87009        1.03698        570.565
        7.88009        1.03704        570.862
        7.89009        1.03711        571.159
        7.90009        1.03718        571.456
        7.91009        1.03724        571.754
        7.92009         1.0373        572.053
        7.93009        1.03736        572.352
        7.94009        1.03742        572.653
        7.95009        1.03747        572.956
        7.96009        1.03753        573.261
        7.97009        1.03758        573.568
        7.98009        1.03763        573.878
        7.99009        1.03767         574.19
        8.00009        1.03772        574.505
        8.01009        1.03776        574.823
        8.02009         1.0378        575.145
        8.03009        1.03783         575.47
        8.04009        1.03786        575.798
        8.05009        1.03789         576.13
        8.06009        1.03792        576.466
        8.07009        1.03794        576.805
        8.08009        1.03796        577.149
        8.09009        1.03798        577.496
        8.10009        1.03799        577.846
        8.11009          1.038        578.201
        8.12009        1.03801        578.559
        8.13009        1.03802        578.921
        8.14009        1.03802        579.286
        8.15009        1.03802        579.654
        8.16009        1.03802        580.026
        8.17009        1.03801        580.401
        8.18009          1.038        580.779
        8.19009          1.038         581.16
        8.20009        1.03798        581.543
        8.21009        1.03797        581.929
        8.22009        1.03795        582.316
        8.23009        1.03794        582.706
        8.24009        1.03792        583.097
        8.25009         1.0379         583.49
        8.26009        1.03788        583.883
        8.27009        1.03785        584.278
        8.28009        1.03783        584.673
        8.29009         1.0378        585.069
        8.30009        1.03778        585.464
        8.31009        1.03775         585.86
         8.3201        1.03772        586.255
         8.3301         1.0377        586.649
         8.3401        1.03767        587.042
         8.3501        1.03764        587.434
         8.3601        1.03761        587.825
         8.3701        1.03759        588.213
         8.3801        1.03756          588.6
         8.3901        1.03754        588.985
         8.4001        1.03751        589.367
         8.4101        1.03749        589.746
         8.4201        1.03747        590.123
         8.4301        1.03745        590.497
         8.4401        1.03744        590.867
         8.4501        1.03742        591.235
         8.4601        1.03741        591.599
         8.4701         1.0374        591.959
         8.4801        1.03739        592.316
         8.4901        1.03738        592.669
         8.5001        1.03738        593.018
         8.5101        1.03738        593.364
         8.5201        1.03738        593.705
         8.5301        1.03738        594.043
         8.5401        1.03739        594.377
         8.5501         1.0374        594.708
         8.5601        1.03741        595.034
         8.5701        1.03742        595.357
         8.5801        1.03744        595.676
         8.5901        1.03746        595.992
         8.6001        1.03748        596.304
         8.6101         1.0375        596.613
         8.6201        1.03753        596.919
         8.6301        1.03756        597.222
         8.6401        1.03759        597.522
         8.6501        1.03762        597.819
         8.6601        1.03765        598.114
         8.6701        1.03768        598.406
         8.6801        1.03772        598.696
         8.6901        1.03775        598.984
         8.7001        1.03779        599.271
         8.7101        1.03782        599.556
         8.7201        1.03786         599.84
         8.7301         1.0379        600.122
         8.7401        1.03794        600.404
         8.7501        1.03797        600.685
        8.76011        1.03801        600.966
        8.77011        1.03805        601.246
        8.78011        1.03808        601.527
        8.79011        1.03812        601.807
        8.80011        1.03815        602.089
        8.81011        1.03818         602.37
        8.82011        1.03821        602.653
        8.83011        1.03824        602.936
        8.84011        1.03827        603.221
        8.85011         1.0383        603.507
        8.86011        1.03833        603.794
        8.87011        1.03835        604.083
        8.88011        1.03837        604.374
        8.89011        1.03839        604.667
        8.90011        1.03841        604.961
        8.91011        1.03843        605.258
        8.92011        1.03844        605.556
        8.93011        1.03845        605.857
        8.94011        1.03846         606.16
        8.95011        1.03847        606.465
        8.96011        1.03848        606.773
        8.97011        1.03848        607.083
        8.98011        1.03849        607.395
        8.99011        1.03849        607.709
        9.00011        1.03849        608.026
        9.01011        1.03848        608.344
        9.02011        1.03848        608.665
        9.03011        1.03847        608.988
        9.04011        1.03847        609.312
        9.05011        1.03846        609.639
        9.06011        1.03844        609.967
        9.07011        1.03843        610.297
        9.08011        1.03842        610.628
        9.09011         1.0384        610.961
        9.10011        1.03838        611.295
        9.11011        1.03837         611.63
        9.12011        1.03835        611.965
        9.13011        1.03833        612.302
        9.14011        1.03831        612.639
        9.15011        1.03829        612.976
        9.16011        1.03826        613.314
        9.17011        1.03824        613.652
        9.18011        1.03822         613.99
        9.19011        1.03819        614.327
        9.20012        1.03817        614.664
        9.21012        1.03815            615
        9.22012        1.03812        615.335
        9.23012         1.0381         615.67
        9.24012        1.03808        616.003
        9.25012        1.03805        616.336
        9.26012        1.03803        616.666
        9.27012        1.03801        616.995
        9.28012        1.03799        617.323
        9.29012        1.03797        617.648
        9.30012        1.03795        617.972
        9.31012        1.03793        618.294
        9.32012        1.03792        618.613
        9.33012         1.0379         618.93
        9.34012        1.03789        619.245
        9.35012        1.03788        619.558
        9.36012        1.03786        619.868
        9.37012        1.03786        620.176
        9.38012        1.03785        620.481
        9.39012        1.03784        620.783
        9.40012        1.03784        621.083
        9.41012        1.03783        621.381
        9.42012        1.03783        621.676
        9.43012        1.03783        621.968
        9.44012        1.03783        622.258
        9.45012        1.03784        622.545
        9.46012        1.03784         622.83
